epoch 0, processed 0 samples, lr  0.0000010000 
Epoch: [0][0/640]	Data time 0.277(0.277)	Batch time 8.386(8.386)	Loss 25.0856(25.0856)	
Epoch: [0][20/640]	Data time 0.111(0.136)	Batch time 1.915(2.196)	Loss 15.3748(16.0076)	
Epoch: [0][40/640]	Data time 0.091(0.117)	Batch time 1.908(2.057)	Loss 34.5405(18.3118)	
Epoch: [0][60/640]	Data time 0.108(0.113)	Batch time 1.915(2.012)	Loss 35.9196(18.6125)	
Epoch: [0][80/640]	Data time 0.109(0.112)	Batch time 1.929(1.991)	Loss 6.7149(19.8098)	
Epoch: [0][100/640]	Data time 0.094(0.110)	Batch time 1.941(1.977)	Loss 5.0661(18.5151)	
Epoch: [0][120/640]	Data time 0.093(0.109)	Batch time 1.929(1.969)	Loss 4.1312(16.9731)	
Epoch: [0][140/640]	Data time 0.095(0.107)	Batch time 1.935(1.964)	Loss 2.8352(17.0430)	
Epoch: [0][160/640]	Data time 0.078(0.105)	Batch time 1.937(1.960)	Loss 2.3115(17.2236)	
Epoch: [0][180/640]	Data time 0.082(0.104)	Batch time 1.944(1.957)	Loss 14.9692(17.9594)	
Epoch: [0][200/640]	Data time 0.102(0.104)	Batch time 1.923(1.955)	Loss 57.0759(17.8420)	
Epoch: [0][220/640]	Data time 0.082(0.104)	Batch time 1.930(1.953)	Loss 5.3370(18.0876)	
Epoch: [0][240/640]	Data time 0.108(0.104)	Batch time 1.926(1.951)	Loss 9.4385(18.5833)	
Epoch: [0][260/640]	Data time 0.078(0.104)	Batch time 1.938(1.949)	Loss 3.6721(18.1319)	
Epoch: [0][280/640]	Data time 0.079(0.103)	Batch time 1.928(1.948)	Loss 6.7314(18.7192)	
Epoch: [0][300/640]	Data time 0.089(0.103)	Batch time 1.944(1.946)	Loss 12.8301(18.3632)	
Epoch: [0][320/640]	Data time 0.097(0.103)	Batch time 1.926(1.945)	Loss 7.2572(18.0904)	
Epoch: [0][340/640]	Data time 0.106(0.103)	Batch time 1.916(1.944)	Loss 13.5331(17.8558)	
Epoch: [0][360/640]	Data time 0.089(0.103)	Batch time 1.922(1.943)	Loss 1.8602(18.3785)	
Epoch: [0][380/640]	Data time 0.135(0.103)	Batch time 1.912(1.943)	Loss 12.5556(18.2942)	
Epoch: [0][400/640]	Data time 0.131(0.102)	Batch time 1.925(1.942)	Loss 7.7900(18.1285)	
Epoch: [0][420/640]	Data time 0.101(0.102)	Batch time 1.921(1.941)	Loss 6.3582(17.7122)	
Epoch: [0][440/640]	Data time 0.124(0.102)	Batch time 1.922(1.940)	Loss 19.7180(17.3952)	
Epoch: [0][460/640]	Data time 0.098(0.102)	Batch time 1.939(1.940)	Loss 3.7658(17.3908)	
Epoch: [0][480/640]	Data time 0.100(0.102)	Batch time 1.908(2.000)	Loss 12.9230(17.3962)	
Epoch: [0][500/640]	Data time 0.097(0.102)	Batch time 1.910(1.997)	Loss 7.5585(17.0659)	
Epoch: [0][520/640]	Data time 0.111(0.102)	Batch time 1.931(1.994)	Loss 9.2472(16.7386)	
Epoch: [0][540/640]	Data time 0.103(0.102)	Batch time 1.922(1.991)	Loss 3.1373(16.3837)	
Epoch: [0][560/640]	Data time 0.105(0.102)	Batch time 1.925(1.989)	Loss 4.5177(16.0326)	
Epoch: [0][580/640]	Data time 0.131(0.102)	Batch time 1.918(1.986)	Loss 3.9207(15.6776)	
Epoch: [0][600/640]	Data time 0.124(0.103)	Batch time 1.909(1.984)	Loss 2.6079(15.3288)	
Epoch: [0][620/640]	Data time 0.119(0.103)	Batch time 1.926(1.982)	Loss 7.4814(15.1963)	
epoch 0, processed 0 samples, lr  0.0000010000 
Epoch: [0][0/40]	Data time 0.081(0.081)	Batch time 1.897(1.897)	Loss 4.0948(4.0948)	
Epoch: [0][20/40]	Data time 0.090(0.077)	Batch time 0.960(0.985)	Loss 3.4897(11.6784)	
epoch 1, processed 1280 samples, lr  0.0000010000 
Epoch: [1][0/640]	Data time 0.104(0.104)	Batch time 0.949(0.949)	Loss 2.3688(2.3688)	
Epoch: [1][20/640]	Data time 0.091(0.101)	Batch time 1.891(1.955)	Loss 2.5924(6.6136)	
Epoch: [1][40/640]	Data time 0.107(0.099)	Batch time 1.892(1.938)	Loss 13.9873(7.6146)	
Epoch: [1][60/640]	Data time 0.091(0.102)	Batch time 1.886(1.960)	Loss 3.2709(6.6852)	
Epoch: [1][80/640]	Data time 0.104(0.101)	Batch time 1.894(1.950)	Loss 15.9356(6.8704)	
Epoch: [1][100/640]	Data time 0.092(0.100)	Batch time 1.890(1.944)	Loss 3.8041(6.6952)	
Epoch: [1][120/640]	Data time 0.092(0.099)	Batch time 1.913(1.940)	Loss 2.3320(6.5467)	
Epoch: [1][140/640]	Data time 0.097(0.099)	Batch time 1.898(1.938)	Loss 2.9685(6.3240)	
Epoch: [1][160/640]	Data time 0.109(0.099)	Batch time 1.904(1.935)	Loss 4.5124(6.5794)	
Epoch: [1][180/640]	Data time 0.087(0.099)	Batch time 1.901(1.933)	Loss 7.6020(6.8454)	
Epoch: [1][200/640]	Data time 0.103(0.100)	Batch time 2.429(1.966)	Loss 2.6349(7.2107)	
Epoch: [1][220/640]	Data time 0.122(0.100)	Batch time 2.370(2.002)	Loss 4.5027(7.1579)	
Epoch: [1][240/640]	Data time 0.102(0.102)	Batch time 2.306(2.031)	Loss 3.6718(6.9943)	
Epoch: [1][260/640]	Data time 0.107(0.102)	Batch time 2.318(2.053)	Loss 3.6133(7.0302)	
Epoch: [1][280/640]	Data time 0.098(0.102)	Batch time 2.337(2.072)	Loss 4.2504(6.8731)	
Epoch: [1][300/640]	Data time 0.115(0.104)	Batch time 2.216(2.281)	Loss 8.9547(7.1023)	
Epoch: [1][320/640]	Data time 0.106(0.104)	Batch time 2.166(2.281)	Loss 3.5317(7.0988)	
Epoch: [1][340/640]	Data time 0.199(0.108)	Batch time 2.271(2.279)	Loss 20.4648(7.0223)	
Epoch: [1][360/640]	Data time 0.093(0.110)	Batch time 2.302(2.279)	Loss 2.2683(6.8693)	
Epoch: [1][380/640]	Data time 0.103(0.110)	Batch time 2.329(2.280)	Loss 48.9008(7.0909)	
Epoch: [1][400/640]	Data time 0.105(0.110)	Batch time 2.280(2.281)	Loss 3.2381(7.0215)	
Epoch: [1][420/640]	Data time 0.125(0.110)	Batch time 2.277(2.283)	Loss 3.9811(6.9240)	
Epoch: [1][440/640]	Data time 0.236(0.110)	Batch time 2.210(2.285)	Loss 18.0191(6.8377)	
Epoch: [1][460/640]	Data time 0.083(0.111)	Batch time 2.133(2.286)	Loss 5.4148(6.7484)	
Epoch: [1][480/640]	Data time 0.101(0.111)	Batch time 1.896(2.272)	Loss 2.1257(6.6653)	
Epoch: [1][500/640]	Data time 0.079(0.110)	Batch time 1.902(2.258)	Loss 1.4113(6.6896)	
Epoch: [1][520/640]	Data time 0.097(0.109)	Batch time 1.916(2.245)	Loss 5.4685(6.6794)	
Epoch: [1][540/640]	Data time 0.088(0.109)	Batch time 1.916(2.233)	Loss 6.9997(6.6015)	
Epoch: [1][560/640]	Data time 0.080(0.108)	Batch time 1.899(2.222)	Loss 8.1866(6.5253)	
Epoch: [1][580/640]	Data time 0.094(0.108)	Batch time 1.902(2.212)	Loss 2.5058(6.4269)	
Epoch: [1][600/640]	Data time 0.084(0.107)	Batch time 1.896(2.203)	Loss 2.1095(6.4663)	
Epoch: [1][620/640]	Data time 0.078(0.107)	Batch time 1.896(2.194)	Loss 1.9923(6.5324)	
epoch 1, processed 80 samples, lr  0.0000010000 
